University,Category,Email,Score,Source
Ruhr University Bochum,Studium/Allgemein,stud-sekretariat@ruhr-uni-bochum.de,4,https://www.ruhr-uni-bochum.de/kontakt
University of Greifswald,International Office,international.office@uni-greifswald.de,11,https://www.uni-greifswald.de/international
University of Greifswald,Sonstiges,webmaster@uni-greifswald.de,5,https://www.uni-greifswald.de/impressum
University of Greifswald,Allgemeiner Kontakt,info@pluswerk.digital,2,https://www.uni-greifswald.de/impressum
University of Augsburg,Allgemeiner Kontakt,info@presse.uni-augsburg.de,3,https://www.uni-augsburg.de/impressum
University of Augsburg,Allgemeiner Kontakt,info@zsb.uni-augsburg.de,3,https://www.uni-augsburg.de/studienberatung
University of Lübeck,Studentensekretariat,studierendensekretariat@uni-luebeck.de,8,https://www.uni-luebeck.de/studium
University of Lübeck,Service,cdsl.service@uni-luebeck.de,4,https://www.uni-luebeck.de/promotion
University of Lübeck,Allgemeiner Kontakt,info@parrot-media.de,3,https://www.uni-luebeck.de/studium
RWTH Aachen University,Bewerbung/Zulassung,zulassung@zhv.rwth-aachen.de,11,https://www.rwth-aachen.de/studierendensekretariat
RWTH Aachen University,Studium/Allgemein,studsek@zhv.rwth-aachen.de,2,https://www.rwth-aachen.de/studierendensekretariat
TU Dortmund University,Bewerbung Master,master-studium@tu-dortmund.de,14,https://www.tu-dortmund.de/studierendensekretariat
TU Dortmund University,Bewerbung/Zulassung,zulassungsverfahren@tu-dortmund.de,11,https://www.tu-dortmund.de/studierendensekretariat
TU Dortmund University,Studium/Allgemein,bescheinigungen-studium@tu-dortmund.de,10,https://www.tu-dortmund.de/studierendensekretariat
TU Dortmund University,Studium/Allgemein,krankenversicherung-studium@tu-dortmund.de,10,https://www.tu-dortmund.de/studierendensekretariat
TU Dortmund University,Studentensekretariat,studierendensekretariat@tu-dortmund.de,8,https://www.tu-dortmund.de/studierendensekretariat
TU Dortmund University,Studium/Allgemein,studiengangswechsel@tu-dortmund.de,2,https://www.tu-dortmund.de/studierendensekretariat
University of Würzburg,Studienberatung,studienberatung@uni-wuerzburg.de,13,https://www.uni-wuerzburg.de/studium
TU Bergakademie Freiberg,Bewerbung/Zulassung,zulassungsbuero@zuv.tu-freiberg.de,11,https://www.tu-freiberg.de/bewerbung
FAU Erlangen-Nuremberg,Bewerbung/Zulassung,zulassungsstelle@fau.de,11,https://www.fau.de/kontakt
FAU Erlangen-Nuremberg,Sonstiges,zuv-masterbuero@fau.de,5,https://www.fau.de/kontakt
FAU Erlangen-Nuremberg,Studium/Allgemein,studierendenverwaltung@fau.de,2,https://www.fau.de/kontakt
University of Göttingen,Studium/Allgemein,infoline-studium@uni-goettingen.de,12,https://www.uni-goettingen.de/bewerbung
University of Göttingen,Studium/Allgemein,studiendekanat@med.uni-goettingen.de,2,https://www.uni-goettingen.de/bewerbung
Justus Liebig University Giessen,Sonstiges,webmaster-cms@uni-giessen.de,5,https://www.uni-giessen.de/impressum
Ludwig Maximilian University of Munich (LMU),International Office,international@lmu.de,11,https://www.lmu.de/international
Technical University of Munich (TUM),Allgemeiner Kontakt,info@tum.de,3,https://www.tum.de/impressum
Leibniz University Hannover,Studium/Allgemein,studium@uni-hannover.de,10,https://www.uni-hannover.de/impressum
University of Siegen,Studienberatung,info.studienberatung@zsb.uni-siegen.de,15,https://www.uni-siegen.de/studierendensekretariat
