"QS 2026 Rank","University","Admissions Email","Website","Region","Relevant MSc Programs"
"671-680","University of Stirling","admissions@stir.ac.uk","https://www.stir.ac.uk","Scotland","CS, AI, Data Science"
"691-700","University of Bradford","admissions@bradford.ac.uk","https://www.bradford.ac.uk","England","CS, AI, ML, Cyber Security"
"701-710","Aberystwyth University","admissions@aber.ac.uk","https://www.aber.ac.uk","Wales","CS, AI, Data Science, Cyber Security"
"711-720","Goldsmiths, University of London","admissions@gold.ac.uk","https://www.gold.ac.uk","England","CS, AI, ML, Data Science"
"741-750","Queen's University Belfast","admissions@qub.ac.uk","https://www.qub.ac.uk","Northern Ireland","CS, AI, ML, Cyber Security"
"751-760","University of Hertfordshire","admissions@herts.ac.uk","https://www.herts.ac.uk","England","CS, AI, Cyber Security"
"771-780","University of the West of England","admissions@uwe.ac.uk","https://www.uwe.ac.uk","England","CS, AI, Cyber Security"
"781-790","Ulster University","admissions@ulster.ac.uk","https://www.ulster.ac.uk","Northern Ireland","CS, AI, Cyber Security"
"791-800","University of Brighton","admissions@brighton.ac.uk","https://www.brighton.ac.uk","England","CS, AI, ML, Robotics"
"801-850","De Montfort University","admissions@dmu.ac.uk","https://www.dmu.ac.uk","England","CS, AI, Cyber Security"
"801-850","Keele University","admissions@keele.ac.uk","https://www.keele.ac.uk","England","CS, AI, Cyber Security"
"801-850","University of Lincoln","admissions@lincoln.ac.uk","https://www.lincoln.ac.uk","England","CS, AI"
"801-850","University of Wolverhampton","admissions@wlv.ac.uk","https://www.wlv.ac.uk","England","CS, AI, Cyber Security"
"801-850","University of East London","admissions@uel.ac.uk","https://www.uel.ac.uk","England","CS, AI, Cyber Security"
"851-900","Edinburgh Napier University","admissions@napier.ac.uk","https://www.napier.ac.uk","Scotland","CS, AI, Cyber Security"
"851-900","University of Greenwich","admissions@gre.ac.uk","https://www.gre.ac.uk","England","CS, AI, Cyber Security"
"851-900","Liverpool John Moores University","admissions@ljmu.ac.uk","https://www.ljmu.ac.uk","England","CS, AI, ML, Cyber Security"
"851-900","Sheffield Hallam University","admissions@shu.ac.uk","https://www.shu.ac.uk","England","CS, AI, Cyber Security"
"901-950","University of Plymouth","admissions@plymouth.ac.uk","https://www.plymouth.ac.uk","England","CS, AI, Cyber Security"
"901-950","Middlesex University","admissions@mdx.ac.uk","https://www.mdx.ac.uk","England","CS, AI, Cyber Security"
"901-950","University of South Wales","admissions@southwales.ac.uk","https://www.southwales.ac.uk","Wales","CS, AI, Cyber Security"
"951-1000","Nottingham Trent University","admissions@ntu.ac.uk","https://www.ntu.ac.uk","England","CS, AI, Cyber Security, Data Science"
"951-1000","Manchester Metropolitan University","admissions@mmu.ac.uk","https://www.mmu.ac.uk","England","CS, AI, Data Science"
"951-1000","London South Bank University","admissions@lsbu.ac.uk","https://www.lsbu.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","Birmingham City University","admissions@bcu.ac.uk","https://www.bcu.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","Canterbury Christ Church University","admissions@canterbury.ac.uk","https://www.canterbury.ac.uk","England","CS, Cyber Security"
"1001-1200","University of Central Lancashire","admissions@uclan.ac.uk","https://www.uclan.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","University of Westminster","admissions@westminster.ac.uk","https://www.westminster.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","University of Derby","askadmissions@derby.ac.uk","https://www.derby.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","University of Bedfordshire","admissions@beds.ac.uk","https://www.beds.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","University of Chester","admissions@chester.ac.uk","https://www.chester.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","Glasgow Caledonian University","admissions@gcu.ac.uk","https://www.gcu.ac.uk","Scotland","CS, AI, Cyber Security"
"1001-1200","University of the West of Scotland","admissions@uws.ac.uk","https://www.uws.ac.uk","Scotland","CS, AI, Cyber Security"
"1001-1200","University of Salford","admissions@salford.ac.uk","https://www.salford.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","Teesside University","admissions@tees.ac.uk","https://www.tees.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","University of Sunderland","admissions@sunderland.ac.uk","https://www.sunderland.ac.uk","England","CS, AI, Cyber Security"
"1001-1200","Anglia Ruskin University","admissions@aru.ac.uk","https://www.aru.ac.uk","England","CS, AI"
"1001-1200","University of Gloucestershire","admissions@glos.ac.uk","https://www.glos.ac.uk","England","CS, Cyber Security, Data Science"
"1001-1200","Buckinghamshire New University","admissions@bucks.ac.uk","https://www.bucks.ac.uk","England","CS, Cyber Security"
"1201-1400","University of Bolton","admissions@bolton.ac.uk","https://www.bolton.ac.uk","England","CS, AI"
"1201-1400","Edge Hill University","admissions@edgehill.ac.uk","https://www.edgehill.ac.uk","England","CS, Data Science"
"1201-1400","University of Northampton","admissions@northampton.ac.uk","https://www.northampton.ac.uk","England","CS, AI"
"1201-1400","University of Worcester","admissions@worc.ac.uk","https://www.worcester.ac.uk","England","CS, AI, Cyber Security"
"1201-1400","University of Roehampton","admissions@roehampton.ac.uk","https://www.roehampton.ac.uk","England","CS, AI, Data Science"
"1201-1400","Southampton Solent University","admissions@solent.ac.uk","https://www.solent.ac.uk","England","CS, Cyber Security"
"1201-1400","University of Cumbria","admissions@cumbria.ac.uk","https://www.cumbria.ac.uk","England","CS, Cyber Security"
"1201-1400","University of Suffolk","admissions@uos.ac.uk","https://www.uos.ac.uk","England","CS, AI, Cyber Security"
"1201-1400","Bath Spa University","admissions@bathspa.ac.uk","https://www.bathspa.ac.uk","England","CS (AI), Data Science"
"1201-1400","University for the Creative Arts","admissions@uca.ac.uk","https://www.uca.ac.uk","England","CS (Game Development)"
"1401+","York St John University","admissions@yorksj.ac.uk","https://www.yorksj.ac.uk","England","CS, AI, Cyber Security"
"1401+","Leeds Beckett University","admissions@leedsbeckett.ac.uk","https://www.leedsbeckett.ac.uk","England","CS, Cyber Security"
"1401+","Liverpool Hope University","admissions@hope.ac.uk","https://www.hope.ac.uk","England","CS, Data Science"
"1401+","University of Chichester","admissions@chi.ac.uk","https://www.chi.ac.uk","England","CS"
"1401+","University of West London","admissions@uwl.ac.uk","https://www.uwl.ac.uk","England","CS, AI"
"1401+","University of Winchester","admissions@winchester.ac.uk","https://www.winchester.ac.uk","England","CS, Cyber Security"
"1401+","Robert Gordon University","admissions@rgu.ac.uk","https://www.rgu.ac.uk","Scotland","CS, AI, Cyber Security"
"1401+","Queen Margaret University","admissions@qmu.ac.uk","https://www.qmu.ac.uk","Scotland","AI, Data Science"
"1401+","Abertay University","admissions@abertay.ac.uk","https://www.abertay.ac.uk","Scotland","AI, Ethical Hacking, Cyber Security"
"1401+","St Mary's University, Twickenham","admissions@stmarys.ac.uk","https://www.stmarys.ac.uk","England","CS"
"1401+","University of Staffordshire","admissions@staffs.ac.uk","https://www.staffs.ac.uk","England","CS, Cyber Security"
"1401+","Leeds Trinity University","admissions@leedstrinity.ac.uk","https://www.leedstrinity.ac.uk","England","CS"
"1401+","Bishop Grosseteste University","admissions@bishopg.ac.uk","https://www.bishopg.ac.uk","England","CS"
"N/A","University of Law","admissions@law.ac.uk","https://www.law.ac.uk","England","CS (Legal Tech)"
"N/A","Cranfield University","admissions@cranfield.ac.uk","https://www.cranfield.ac.uk","England","CS, AI, Cyber Security, Data Science"
"N/A","Harper Adams University","admissions@harper-adams.ac.uk","https://www.harper-adams.ac.uk","England","CS"
"N/A","Arts University Bournemouth","admissions@aub.ac.uk","https://www.aub.ac.uk","England","CS (Creative Tech)"
"N/A","Falmouth University","admissions@falmouth.ac.uk","https://www.falmouth.ac.uk","England","AI for Games, Data Science"
"N/A","Royal Holloway, University of London","admissions@rhul.ac.uk","https://www.rhul.ac.uk","England","CS, Info Security, Cyber Security, AI"
"N/A","Queen Mary University of London","admissions@qmul.ac.uk","https://www.qmul.ac.uk","England","CS, AI, ML, Cyber Security"
"N/A","SOAS University of London","admissions@soas.ac.uk","https://www.soas.ac.uk","England","CS, Data Science"
"N/A","Open University","admissions@open.ac.uk","https://www.open.ac.uk","England","CS, AI, ML, Cyber Security (Distance)"
"N/A","London Metropolitan University","admissions@londonmet.ac.uk","https://www.londonmet.ac.uk","England","CS, AI, Cyber Security"
"N/A","University of Wales Trinity Saint David","admissions@uwtsd.ac.uk","https://www.uwtsd.ac.uk","Wales","CS, AI, Cyber Security"
"N/A","Wrexham Glyndwr University","admissions@glyndwr.ac.uk","https://www.glyndwr.ac.uk","Wales","CS, Cyber Security"
"N/A","Cardiff Metropolitan University","admissions@cardiffmet.ac.uk","https://www.cardiffmet.ac.uk","Wales","CS, AI, Cyber Security"
"N/A","University of Buckingham","admissions@buckingham.ac.uk","https://www.buckingham.ac.uk","England","CS, AI"
