"University","Category","Email","QS 2026 Rank"
"Univ of Sheffield","Accommodation","accommodation@sheffield.ac.uk","92"
"Durham University","General Admissions","admissions@durham.ac.uk","94"
"Durham University","UG Admissions","ug.admissions@durham.ac.uk","94"
"Durham University","PGT Admissions","pg.admissions@durham.ac.uk","94"
"Durham University","PGR Admissions","phd.admissions@durham.ac.uk","94"
"Durham University","CS Department","cs.admissions@durham.ac.uk","94"
"Durham University","Engineering","eng.admissions@durham.ac.uk","94"
"Durham University","International Admissions","international@durham.ac.uk","94"
"Durham University","Student Finance","fees@durham.ac.uk","94"
"Durham University","CAS Queries","cas@durham.ac.uk","94"
"Durham University","AI/Data Science MSc","pg.admissions@durham.ac.uk","94"
"Univ of Nottingham","General Admissions","admissions@nottingham.ac.uk","97"
"Univ of Nottingham","UG Admissions","ug-admissions@nottingham.ac.uk","97"
"Univ of Nottingham","PGT Admissions","pgt-admissions@nottingham.ac.uk","97"
"Univ of Nottingham","PGR Admissions","pgr-admissions@nottingham.ac.uk","97"
"Univ of Nottingham","CS School","cs-admissions@nottingham.ac.uk","97"
"Univ of Nottingham","Engineering","eng-admissions@nottingham.ac.uk","97"
"Univ of Nottingham","International Admissions","international@nottingham.ac.uk","97"
"Univ of Nottingham","Student Fees","fees@nottingham.ac.uk","97"
"Univ of Nottingham","AI/Cyber Security MSc","pgt-admissions@nottingham.ac.uk","97"
"Univ of St Andrews","General Admissions","admissions@st-andrews.ac.uk","113"
"Univ of St Andrews","UG Admissions","ug.admissions@st-andrews.ac.uk","113"
"Univ of St Andrews","PGT Admissions","pg.admissions@st-andrews.ac.uk","113"
"Univ of St Andrews","PGR Admissions","phd.admissions@st-andrews.ac.uk","113"
"Univ of St Andrews","CS School","cs-admissions@st-andrews.ac.uk","113"
"Univ of St Andrews","International Admissions","international@st-andrews.ac.uk","113"
"Univ of St Andrews","Student Finance","fees@st-andrews.ac.uk","113"
"Univ of St Andrews","Accommodation","accommodation@st-andrews.ac.uk","113"
"Univ of St Andrews","AI/Data Science MSc","pg.admissions@st-andrews.ac.uk","113"
"Newcastle University","General Admissions","admissions@ncl.ac.uk","137"
"Newcastle University","UG Admissions","ug-admissions@ncl.ac.uk","137"
"Newcastle University","PGT Admissions","pgt-admissions@ncl.ac.uk","137"
"Newcastle University","PGR Admissions","phd-admissions@ncl.ac.uk","137"
"Newcastle University","CS/Computing","computing@ncl.ac.uk","137"
"Newcastle University","Engineering","eng-admissions@ncl.ac.uk","137"
"Newcastle University","International Admissions","international@ncl.ac.uk","137"
"Newcastle University","Student Finance","fees@ncl.ac.uk","137"
"Newcastle University","AI/Cyber Security MSc","pgt-admissions@ncl.ac.uk","137"
"Lancaster University","General Admissions","admissions@lancaster.ac.uk","157"
"Lancaster University","UG Admissions","ug.admissions@lancaster.ac.uk","157"
"Lancaster University","PGT Admissions","pg.admissions@lancaster.ac.uk","157"
"Lancaster University","PGR Admissions","phd.admissions@lancaster.ac.uk","157"
"Lancaster University","CS/Computing","computing@lancaster.ac.uk","157"
"Lancaster University","Engineering","eng.admissions@lancaster.ac.uk","157"
"Lancaster University","International Admissions","international@lancaster.ac.uk","157"
"Lancaster University","Student Fees","fees@lancaster.ac.uk","157"
"Lancaster University","Cyber/Data Science MSc","pg.admissions@lancaster.ac.uk","157"
"Univ of York","General Admissions","admissions@york.ac.uk","169"
"Univ of York","UG Admissions","ug-admissions@york.ac.uk","169"
"Univ of York","PGT Admissions","pg-admissions@york.ac.uk","169"
"Univ of York","PGR Admissions","phd-admissions@york.ac.uk","169"
"Univ of York","CS Department","cs-admissions@york.ac.uk","169"
"Univ of York","Engineering","eng-admissions@york.ac.uk","169"
"Univ of York","International Admissions","international@york.ac.uk","169"
"Univ of York","Student Finance","fees@york.ac.uk","169"
"Univ of York","AI/Cyber Security MSc","pg-admissions@york.ac.uk","169"
"Cardiff University","General Admissions","admissions@cardiff.ac.uk","181"
"Cardiff University","UG Admissions","ug.admissions@cardiff.ac.uk","181"
"Cardiff University","PGT Admissions","pg.admissions@cardiff.ac.uk","181"
"Cardiff University","PGR Admissions","phd.admissions@cardiff.ac.uk","181"
"Cardiff University","CS/Informatics","comsc-admissions@cardiff.ac.uk","181"
"Cardiff University","Engineering","eng-admissions@cardiff.ac.uk","181"
"Cardiff University","International Admissions","international@cardiff.ac.uk","181"
"Cardiff University","Student Fees","fees@cardiff.ac.uk","181"
"Cardiff University","Cyber Security MSc","pg.admissions@cardiff.ac.uk","181"
"Cardiff University","Accommodation","accommodation@cardiff.ac.uk","181"
"Loughborough University","General Admissions","admissions@lboro.ac.uk","225"
"Loughborough University","UG Admissions","ug.admissions@lboro.ac.uk","225"
"Loughborough University","PGT Admissions","pg.admissions@lboro.ac.uk","225"
"Loughborough University","PGR Admissions","phd.admissions@lboro.ac.uk","225"
"Loughborough University","CS Department","cs.admissions@lboro.ac.uk","225"
"Loughborough University","Engineering","eng.admissions@lboro.ac.uk","225"
"Loughborough University","International Admissions","international@lboro.ac.uk","225"
"Loughborough University","Student Finance","fees@lboro.ac.uk","225"
"Loughborough University","AI/Data Analytics MSc","pg.admissions@lboro.ac.uk","225"
"Queen Mary Univ of London","General Admissions","admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","UG Admissions","ug-admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","PGT Admissions","pgt-admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","PGR Admissions","phd-admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","ECS (CS/Eng)","ecs-admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","Engineering","eng-admissions@qmul.ac.uk","N/A"
"Queen Mary Univ of London","International Admissions","international@qmul.ac.uk","N/A"
"Queen Mary Univ of London","Student Fees","fees@qmul.ac.uk","N/A"
"Queen Mary Univ of London","AI/ML/Cyber MSc","pgt-admissions@qmul.ac.uk","N/A"
"Royal Holloway Univ London","General Admissions","admissions@rhul.ac.uk","N/A"
"Royal Holloway Univ London","UG Admissions","ug.admissions@rhul.ac.uk","N/A"
"Royal Holloway Univ London","PGT Admissions","pg.admissions@rhul.ac.uk","N/A"
"Royal Holloway Univ London","PGR Admissions","phd.admissions@rhul.ac.uk","N/A"
"Royal Holloway Univ London","Info Security","infosec@rhul.ac.uk","N/A"
"Royal Holloway Univ London","CS Department","cs.admissions@rhul.ac.uk","N/A"
"Royal Holloway Univ London","International Admissions","international@rhul.ac.uk","N/A"
"Royal Holloway Univ London","Student Finance","fees@rhul.ac.uk","N/A"
"Royal Holloway Univ London","Cyber/Data Science MSc","pg.admissions@rhul.ac.uk","N/A"
"University of Bath","General Admissions","admissions@bath.ac.uk","408"
"University of Bath","UG Admissions","ug-admissions@bath.ac.uk","408"
"University of Bath","PGT Admissions","pgt-admissions@bath.ac.uk","408"
"University of Bath","PGR Admissions","phd-admissions@bath.ac.uk","408"
"University of Bath","CS Department","cs-admissions@bath.ac.uk","408"
"University of Bath","Engineering","eng-admissions@bath.ac.uk","408"
"University of Bath","International Admissions","international@bath.ac.uk","408"
"University of Bath","Student Finance","fees@bath.ac.uk","408"
"University of Bath","AI/Advanced ML MSc","pgt-admissions@bath.ac.uk","408"
"University of Liverpool","General Admissions","admissions@liverpool.ac.uk","441"
"University of Liverpool","UG Admissions","ug.admissions@liverpool.ac.uk","441"
"University of Liverpool","PGT Admissions","pgt.admissions@liverpool.ac.uk","441"
"University of Liverpool","PGR Admissions","phd.admissions@liverpool.ac.uk","441"
"University of Liverpool","CS Department","cs.admissions@liverpool.ac.uk","441"
"University of Liverpool","Engineering","eng.admissions@liverpool.ac.uk","441"
"University of Liverpool","International Admissions","international@liverpool.ac.uk","441"
"University of Liverpool","Student Finance","fees@liverpool.ac.uk","441"
"University of Liverpool","AI/Cyber Security MSc","pgt.admissions@liverpool.ac.uk","441"
"University of Surrey","General Admissions","admissions@surrey.ac.uk","461"
"University of Surrey","UG Admissions","ug.admissions@surrey.ac.uk","461"
"University of Surrey","PGT Admissions","pgt.admissions@surrey.ac.uk","461"
"University of Surrey","PGR Admissions","phd.admissions@surrey.ac.uk","461"
"University of Surrey","CS Department","cs.admissions@surrey.ac.uk","461"
"University of Surrey","Engineering","eng.admissions@surrey.ac.uk","461"
"University of Surrey","International Admissions","international@surrey.ac.uk","461"
"University of Surrey","Student Fees","fees@surrey.ac.uk","461"
"University of Surrey","AI/Computer Vision MSc","pgt.admissions@surrey.ac.uk","461"
"University of East Anglia","General Admissions","admissions@uea.ac.uk","474"
"University of East Anglia","UG Admissions","ug.admissions@uea.ac.uk","474"
"University of East Anglia","PGT Admissions","pgt.admissions@uea.ac.uk","474"
"University of East Anglia","PGR Admissions","phd.admissions@uea.ac.uk","474"
"University of East Anglia","CS/Computing","cs.admissions@uea.ac.uk","474"
"University of East Anglia","Engineering","eng.admissions@uea.ac.uk","474"
"University of East Anglia","International Admissions","international@uea.ac.uk","474"
"University of East Anglia","Cyber/Data Science MSc","pgt.admissions@uea.ac.uk","474"
"University of East Anglia","Accommodation","accommodation@uea.ac.uk","474"
"University of Aberdeen","General Admissions","admissions@abdn.ac.uk","508"
"University of Aberdeen","UG Admissions","ug.admissions@abdn.ac.uk","508"
"University of Aberdeen","PGT Admissions","pgt.admissions@abdn.ac.uk","508"
"University of Aberdeen","PGR Admissions","phd.admissions@abdn.ac.uk","508"
"University of Aberdeen","CS/Computing","cs.admissions@abdn.ac.uk","508"
"University of Aberdeen","Engineering","eng.admissions@abdn.ac.uk","508"
"University of Aberdeen","International Admissions","international@abdn.ac.uk","508"
"University of Aberdeen","Student Finance","fees@abdn.ac.uk","508"
"University of Aberdeen","AI/Cyber Security MSc","pgt.admissions@abdn.ac.uk","508"
"University of Strathclyde","General Admissions","admissions@strath.ac.uk","511"
"University of Strathclyde","UG Admissions","ug.admissions@strath.ac.uk","511"
"University of Strathclyde","PGT Admissions","pgt.admissions@strath.ac.uk","511"
"University of Strathclyde","PGR Admissions","pgr.admissions@strath.ac.uk","511"
"University of Strathclyde","CS Department","cs.admissions@strath.ac.uk","511"
"University of Strathclyde","Engineering","eng.admissions@strath.ac.uk","511"
"University of Strathclyde","International Admissions","international@strath.ac.uk","511"
"University of Strathclyde","CAS Team","cas.admissions@strath.ac.uk","511"
"University of Strathclyde","ML/Deep Learning MSc","pgt.admissions@strath.ac.uk","511"
"University of Strathclyde","Student Fees","feestatus.enquiries@strath.ac.uk","511"
"Heriot-Watt University","General Admissions","admissions@hw.ac.uk","287"
"Heriot-Watt University","UG Admissions","ug.admissions@hw.ac.uk","287"
"Heriot-Watt University","PGT Admissions","pgt.admissions@hw.ac.uk","287"
"Heriot-Watt University","PGR Admissions","pgr.admissions@hw.ac.uk","287"
"Heriot-Watt University","CS/Mathematics","cs.admissions@hw.ac.uk","287"
"Heriot-Watt University","Engineering","eng.admissions@hw.ac.uk","287"
"Heriot-Watt University","International Admissions","international@hw.ac.uk","287"
"Heriot-Watt University","Student Finance","fees@hw.ac.uk","287"
"Heriot-Watt University","AI/Cyber Security MSc","pgt.admissions@hw.ac.uk","287"
"University of Sussex","General Admissions","admissions@sussex.ac.uk","278"
"University of Sussex","UG Admissions","ug.admissions@sussex.ac.uk","278"
"University of Sussex","PGT Admissions","pg.admissions@sussex.ac.uk","278"
"University of Sussex","PGR Admissions","phd.admissions@sussex.ac.uk","278"
"University of Sussex","CS/Informatics","informatics@sussex.ac.uk","278"
"University of Sussex","Engineering","eng.admissions@sussex.ac.uk","278"
"University of Sussex","International Admissions","international@sussex.ac.uk","278"
"University of Sussex","Student Fees","fees@sussex.ac.uk","278"
"University of Sussex","AI/Cyber Security MSc","pg.admissions@sussex.ac.uk","278"
"Swansea University","General Admissions","admissions@swansea.ac.uk","292"
"Swansea University","UG Admissions","ug.admissions@swansea.ac.uk","292"
"Swansea University","PGT Admissions","pg.admissions@swansea.ac.uk","292"
"Swansea University","PGR Admissions","phd.admissions@swansea.ac.uk","292"
"Swansea University","CS Department","cs.admissions@swansea.ac.uk","292"
"Swansea University","Engineering","eng.admissions@swansea.ac.uk","292"
"Swansea University","International Admissions","international@swansea.ac.uk","292"
"Swansea University","Student Finance","fees@swansea.ac.uk","292"
"Swansea University","AI/ML/Data Science MSc","pg.admissions@swansea.ac.uk","292"
"City St George's Univ","General Admissions","admissions@citystgeorges.ac.uk","310"
"City St George's Univ","UG Admissions","ug.admissions@city.ac.uk","310"
"City St George's Univ","PGT Admissions","pg.admissions@city.ac.uk","310"
"City St George's Univ","PGR Admissions","phd.admissions@city.ac.uk","310"
"City St George's Univ","CS/Computing","computing@city.ac.uk","310"
"City St George's Univ","Engineering","eng.admissions@city.ac.uk","310"
"City St George's Univ","International Admissions","international@city.ac.uk","310"
"City St George's Univ","Student Finance","fees@city.ac.uk","310"
"City St George's Univ","AI/Cyber Security MSc","pg.admissions@city.ac.uk","310"
"University of Leicester","General Admissions","admissions@leicester.ac.uk","326"
"University of Leicester","UG Admissions","ug.admissions@leicester.ac.uk","326"
"University of Leicester","PGT Admissions","pg.admissions@leicester.ac.uk","326"
"University of Leicester","PGR Admissions","phd.admissions@leicester.ac.uk","326"
"University of Leicester","CS Department","cs.admissions@leicester.ac.uk","326"
"University of Leicester","Engineering","eng.admissions@leicester.ac.uk","326"
"University of Leicester","International Admissions","international@leicester.ac.uk","326"
"University of Leicester","Student Finance","fees@leicester.ac.uk","326"
"University of Leicester","AI/Data Science MSc","pg.admissions@leicester.ac.uk","326"
"Oxford Brookes University","General Admissions","admissions@brookes.ac.uk","374"
"Oxford Brookes University","UG Admissions","ug.admissions@brookes.ac.uk","374"
"Oxford Brookes University","PGT Admissions","pg.admissions@brookes.ac.uk","374"
"Oxford Brookes University","PGR Admissions","phd.admissions@brookes.ac.uk","374"
"Oxford Brookes University","CS/Computing","computing@brookes.ac.uk","374"
"Oxford Brookes University","Engineering","eng.admissions@brookes.ac.uk","374"
"Oxford Brookes University","International Admissions","international@brookes.ac.uk","374"
"Oxford Brookes University","Student Finance","fees@brookes.ac.uk","374"
"Oxford Brookes University","Cyber Security MSc","pg.admissions@brookes.ac.uk","374"
"Oxford Brookes University","Accommodation","accommodation@brookes.ac.uk","374"
"Brunel University London","General Admissions","admissions@brunel.ac.uk","385"
"Brunel University London","UG Admissions","ug.admissions@brunel.ac.uk","385"
"Brunel University London","PGT Admissions","pg.admissions@brunel.ac.uk","385"
"Brunel University London","PGR Admissions","phd.admissions@brunel.ac.uk","385"
"Brunel University London","CS Department","cs.admissions@brunel.ac.uk","385"
"Brunel University London","Engineering","eng.admissions@brunel.ac.uk","385"
"Brunel University London","International Admissions","international@brunel.ac.uk","385"
"Brunel University London","Student Finance","fees@brunel.ac.uk","385"
"Brunel University London","AI/Cyber Security MSc","pg.admissions@brunel.ac.uk","385"
"Birkbeck Univ of London","General Admissions","admissions@bbk.ac.uk","388"
"Birkbeck Univ of London","UG Admissions","ug.admissions@bbk.ac.uk","388"
"Birkbeck Univ of London","PGT Admissions","pg.admissions@bbk.ac.uk","388"
"Birkbeck Univ of London","PGR Admissions","phd.admissions@bbk.ac.uk","388"
"Birkbeck Univ of London","CS/Computing","computing@bbk.ac.uk","388"
"Birkbeck Univ of London","International Admissions","international@bbk.ac.uk","388"
"Birkbeck Univ of London","Student Finance","fees@bbk.ac.uk","388"
"Birkbeck Univ of London","Data Science/AI MSc","pg.admissions@bbk.ac.uk","388"
"Birkbeck Univ of London","Accommodation","accommodation@bbk.ac.uk","388"
"Aston University","General Admissions","admissions@aston.ac.uk","395"
"Aston University","UG Admissions","ug.admissions@aston.ac.uk","395"
"Aston University","PGT Admissions","pg.admissions@aston.ac.uk","395"
"Aston University","PGR Admissions","phd.admissions@aston.ac.uk","395"
"Aston University","CS/Mathematics","cs.admissions@aston.ac.uk","395"
"Aston University","Engineering","eng.admissions@aston.ac.uk","395"
"Aston University","International Admissions","international@aston.ac.uk","395"
"Aston University","Student Finance","fees@aston.ac.uk","395"
"Aston University","AI/Data Science MSc","pg.admissions@aston.ac.uk","395"
"Aston University","Accommodation","accommodation@aston.ac.uk","395"
"Univ of Huddersfield","General Admissions","admissions@hud.ac.uk","524"
"Univ of Huddersfield","UG Admissions","ug.admissions@hud.ac.uk","524"
"Univ of Huddersfield","PGT Admissions","pg.admissions@hud.ac.uk","524"
"Univ of Huddersfield","PGR Admissions","phd.admissions@hud.ac.uk","524"
"Univ of Huddersfield","CS/Computing","computing@hud.ac.uk","524"
"Univ of Huddersfield","Engineering","eng.admissions@hud.ac.uk","524"
"Univ of Huddersfield","International Admissions","international@hud.ac.uk","524"
"Univ of Huddersfield","Student Finance","fees@hud.ac.uk","524"
"Univ of Huddersfield","AI/Cyber Security MSc","pg.admissions@hud.ac.uk","524"
"University of Dundee","General Admissions","admissions@dundee.ac.uk","541"
"University of Dundee","UG Admissions","ug.admissions@dundee.ac.uk","541"
"University of Dundee","PGT Admissions","pg.admissions@dundee.ac.uk","541"
"University of Dundee","PGR Admissions","phd.admissions@dundee.ac.uk","541"
"University of Dundee","CS/Computing","computing@dundee.ac.uk","541"
"University of Dundee","Engineering","eng.admissions@dundee.ac.uk","541"
"University of Dundee","International Admissions","international@dundee.ac.uk","541"
"University of Dundee","Student Finance","fees@dundee.ac.uk","541"
"University of Dundee","Accommodation","accommodation@dundee.ac.uk","541"
"Northumbria University","General Admissions","admissions@northumbria.ac.uk","550"
"Northumbria University","UG Admissions","ug.admissions@northumbria.ac.uk","550"
"Northumbria University","PGT Admissions","pg.admissions@northumbria.ac.uk","550"
"Northumbria University","PGR Admissions","phd.admissions@northumbria.ac.uk","550"
"Northumbria University","CS/Computing","computing@northumbria.ac.uk","550"
"Northumbria University","Engineering","eng.admissions@northumbria.ac.uk","550"
"Northumbria University","International Admissions","international@northumbria.ac.uk","550"
"Northumbria University","Student Finance","fees@northumbria.ac.uk","550"
"Northumbria University","AI/Cyber Security MSc","pg.admissions@northumbria.ac.uk","550"
"Coventry University","General Admissions","admissions.coventry@coventry.ac.uk","558"
"Coventry University","UG Admissions","ug.admissions@coventry.ac.uk","558"
"Coventry University","PGT Admissions","pg.admissions@coventry.ac.uk","558"
"Coventry University","PGR Admissions","phd.admissions@coventry.ac.uk","558"
"Coventry University","CS/Computing","computing@coventry.ac.uk","558"
"Coventry University","Engineering","eng.admissions@coventry.ac.uk","558"
