"University","Admissions Email","Website","Region"
"University of Huddersfield","admissions@hud.ac.uk","https://www.hud.ac.uk","England"
"University of Hull","admissions@hull.ac.uk","https://www.hull.ac.uk","England"
"Imperial College London","admissions@imperial.ac.uk","https://www.imperial.ac.uk","England"
"Keele University","admissions@keele.ac.uk","https://www.keele.ac.uk","England"
"University of Kent","admissions@kent.ac.uk","https://www.kent.ac.uk","England"
"King's College London","admissions@kcl.ac.uk","https://www.kcl.ac.uk","England"
"Kingston University","admissions@kingston.ac.uk","https://www.kingston.ac.uk","England"
"University of Law","admissions@law.ac.uk","https://www.law.ac.uk","England"
"Lancaster University","admissions@lancaster.ac.uk","https://www.lancaster.ac.uk","England"
"Leeds Arts University","admissions@leeds-art.ac.uk","https://www.leeds-art.ac.uk","England"
"Leeds Beckett University","admissions@leedsbeckett.ac.uk","https://www.leedsbeckett.ac.uk","England"
"Leeds Trinity University","admissions@leedstrinity.ac.uk","https://www.leedstrinity.ac.uk","England"
"University of Leeds","admissions@leeds.ac.uk","https://www.leeds.ac.uk","England"
"University of Leicester","admissions@leicester.ac.uk","https://www.leicester.ac.uk","England"
"University of Lincoln","admissions@lincoln.ac.uk","https://www.lincoln.ac.uk","England"
"Liverpool Hope University","admissions@hope.ac.uk","https://www.hope.ac.uk","England"
"Liverpool John Moores University","admissions@ljmu.ac.uk","https://www.ljmu.ac.uk","England"
"University of Liverpool","admissions@liverpool.ac.uk","https://www.liverpool.ac.uk","England"
"London Metropolitan University","admissions@londonmet.ac.uk","https://www.londonmet.ac.uk","England"
"London School of Economics","admissions@lse.ac.uk","https://www.lse.ac.uk","England"
"London South Bank University","admissions@lsbu.ac.uk","https://www.lsbu.ac.uk","England"
"Loughborough University","admissions@lboro.ac.uk","https://www.lboro.ac.uk","England"
"Manchester Metropolitan University","admissions@mmu.ac.uk","https://www.mmu.ac.uk","England"
"University of Manchester","admissions@manchester.ac.uk","https://www.manchester.ac.uk","England"
"Middlesex University","admissions@mdx.ac.uk","https://www.mdx.ac.uk","England"
"Newcastle University","admissions@ncl.ac.uk","https://www.ncl.ac.uk","England"
"University of Northampton","admissions@northampton.ac.uk","https://www.northampton.ac.uk","England"
"Northumbria University","admissions@northumbria.ac.uk","https://www.northumbria.ac.uk","England"
"Norwich University of the Arts","admissions@nua.ac.uk","https://www.nua.ac.uk","England"
"Nottingham Trent University","admissions@ntu.ac.uk","https://www.ntu.ac.uk","England"
"University of Nottingham","admissions@nottingham.ac.uk","https://www.nottingham.ac.uk","England"
"Open University","admissions@open.ac.uk","https://www.open.ac.uk","England"
"Oxford Brookes University","admissions@brookes.ac.uk","https://www.brookes.ac.uk","England"
"University of Oxford","admissions@ox.ac.uk","https://www.ox.ac.uk","England"
"University of Plymouth","admissions@plymouth.ac.uk","https://www.plymouth.ac.uk","England"
"Plymouth Marjon University","admissions@marjon.ac.uk","https://www.marjon.ac.uk","England"
"University of Portsmouth","admissions@port.ac.uk","https://www.port.ac.uk","England"
"Queen Margaret University","admissions@qmu.ac.uk","https://www.qmu.ac.uk","Scotland"
"Queen Mary University of London","admissions@qmul.ac.uk","https://www.qmul.ac.uk","England"
"Queen's University Belfast","admissions@qub.ac.uk","https://www.qub.ac.uk","Northern Ireland"
"Ravensbourne University London","admissions@rave.ac.uk","https://www.rave.ac.uk","England"
"University of Reading","admissions@reading.ac.uk","https://www.reading.ac.uk","England"
"Regent's University London","admissions@regents.ac.uk","https://www.regents.ac.uk","England"
"Robert Gordon University","admissions@rgu.ac.uk","https://www.rgu.ac.uk","Scotland"
"University of Roehampton","admissions@roehampton.ac.uk","https://www.roehampton.ac.uk","England"
"Royal Agricultural University","admissions@rau.ac.uk","https://www.rau.ac.uk","England"
"University of Salford","admissions@salford.ac.uk","https://www.salford.ac.uk","England"
"Sheffield Hallam University","admissions@shu.ac.uk","https://www.shu.ac.uk","England"
"University of Sheffield","admissions@sheffield.ac.uk","https://www.sheffield.ac.uk","England"
"SOAS University of London","admissions@soas.ac.uk","https://www.soas.ac.uk","England"
"University of South Wales","admissions@southwales.ac.uk","https://www.southwales.ac.uk","Wales"
"University of Southampton","admissions@southampton.ac.uk","https://www.southampton.ac.uk","England"
"Southampton Solent University","admissions@solent.ac.uk","https://www.solent.ac.uk","England"
"University of St Andrews","admissions@st-andrews.ac.uk","https://www.st-andrews.ac.uk","Scotland"
"St Mary's University, Twickenham","admissions@stmarys.ac.uk","https://www.stmarys.ac.uk","England"
"University of Staffordshire","admissions@staffs.ac.uk","https://www.staffs.ac.uk","England"
"University of Stirling","admissions@stir.ac.uk","https://www.stir.ac.uk","Scotland"
"University of Strathclyde","ug.admissions@strath.ac.uk","https://www.strath.ac.uk","Scotland"
"University of Suffolk","admissions@uos.ac.uk","https://www.uos.ac.uk","England"
"University of Sunderland","admissions@sunderland.ac.uk","https://www.sunderland.ac.uk","England"
"University of Surrey","admissions@surrey.ac.uk","https://www.surrey.ac.uk","England"
"University of Sussex","admissions@sussex.ac.uk","https://www.sussex.ac.uk","England"
"Swansea University","admissions@swansea.ac.uk","https://www.swansea.ac.uk","Wales"
"Teesside University","admissions@tees.ac.uk","https://www.tees.ac.uk","England"
"University of the Arts London","admissions@arts.ac.uk","https://www.arts.ac.uk","England"
"Ulster University","admissions@ulster.ac.uk","https://www.ulster.ac.uk","Northern Ireland"
"University of Wales Trinity Saint David","admissions@uwtsd.ac.uk","https://www.uwtsd.ac.uk","Wales"
"University of Warwick","admissions@warwick.ac.uk","https://www.warwick.ac.uk","England"
"University of the West of England","admissions@uwe.ac.uk","https://www.uwe.ac.uk","England"
"University of West London","admissions@uwl.ac.uk","https://www.uwl.ac.uk","England"
"University of Westminster","admissions@westminster.ac.uk","https://www.westminster.ac.uk","England"
"University of Winchester","admissions@winchester.ac.uk","https://www.winchester.ac.uk","England"
"University of Wolverhampton","admissions@wlv.ac.uk","https://www.wlv.ac.uk","England"
"University of Worcester","admissions@worc.ac.uk","https://www.worcester.ac.uk","England"
"University of York","admissions@york.ac.uk","https://www.york.ac.uk","England"
"York St John University","admissions@yorksj.ac.uk","https://www.yorksj.ac.uk","England"
"Abertay University","admissions@abertay.ac.uk","https://www.abertay.ac.uk","Scotland"
"University of Aberdeen","admissions@abdn.ac.uk","https://www.abdn.ac.uk","Scotland"
"Bishop Grosseteste University","admissions@bishopg.ac.uk","https://www.bishopg.ac.uk","England"
"Royal Veterinary College","admissions@rvc.ac.uk","https://www.rvc.ac.uk","England"
"University of London","admissions@london.ac.uk","https://www.london.ac.uk","England"
"Glasgow School of Art","admissions@gsa.ac.uk","https://www.gsa.ac.uk","Scotland"
"Royal Conservatoire of Scotland","admissions@rcs.ac.uk","https://www.rcs.ac.uk","Scotland"
"Royal Northern College of Music","admissions@rncm.ac.uk","https://www.rncm.ac.uk","England"
"Leeds Conservatoire","admissions@lcm.ac.uk","https://www.lcm.ac.uk","England"
"BIMM University","admissions@bimm.ac.uk","https://www.bimm.ac.uk","England"
"Health Sciences University","admissions@healthsciences.ac.uk","https://www.healthsciences.ac.uk","England"
"Liverpool School of Tropical Medicine","admissions@lstmed.ac.uk","https://www.lstmed.ac.uk","England"
"London School of Hygiene & Tropical Medicine","admissions@lshtm.ac.uk","https://www.lshtm.ac.uk","England"
"Wrexham Glyndwr University","admissions@glyndwr.ac.uk","https://www.glyndwr.ac.uk","Wales"
"Royal College of Art","admissions@rca.ac.uk","https://www.rca.ac.uk","England"
"Royal College of Music","admissions@rcm.ac.uk","https://www.rcm.ac.uk","England"
"Guildhall School of Music & Drama","admissions@gsmd.ac.uk","https://www.gsmd.ac.uk","England"
"Trinity Laban Conservatoire","admissions@trinitylaban.ac.uk","https://www.trinitylaban.ac.uk","England"
"University College London","admissions@ucl.ac.uk","https://www.ucl.ac.uk","England"
"University of the West of Scotland","admissions@uws.ac.uk","https://www.uws.ac.uk","Scotland"
"Royal Welsh College of Music & Drama","admissions@rwcmd.ac.uk","https://www.rwcmd.ac.uk","Wales"
"University of Wales","admissions@wales.ac.uk","https://www.wales.ac.uk","Wales"
"Courtauld Institute of Art","admissions@courtauld.ac.uk","https://www.courtauld.ac.uk","England"
"Royal Academy of Music","admissions@ram.ac.uk","https://www.ram.ac.uk","England"
"University College Birmingham","admissions@ucb.ac.uk","https://www.ucb.ac.uk","England"
"SRUC (Scotland's Rural College)","admissions@sruc.ac.uk","https://www.sruc.ac.uk","Scotland"
"Rose Bruford College","admissions@bruford.ac.uk","https://www.bruford.ac.uk","England"
"Central School of Speech and Drama","admissions@cssd.ac.uk","https://www.cssd.ac.uk","England"
"Plymouth College of Art","admissions@pca.ac.uk","https://www.pca.ac.uk","England"
"University Centre Peterborough","admissions@ucp.ac.uk","https://www.ucp.ac.uk","England"
"Writtle University College","admissions@writtle.ac.uk","https://www.writtle.ac.uk","England"
"University of Leicester","admissions@le.ac.uk","https://www.le.ac.uk","England"
